date,action,ticker,price,shares,fee,cash_after,reason
2024-02-15,BUY,BEIJ-B.ST,144.039794921875,73197,7274.863799538574,42166010.820727155,REBALANCE_IN
2024-02-15,BUY,HM-B.ST,132.74635314941406,79424,7274.839983251953,31615489.628204837,REBALANCE_IN
2024-02-15,BUY,MEKO.ST,110.83451080322266,95126,7274.8381355204765,21064971.11540196,REBALANCE_IN
2024-02-22,SELL,BEIJ-B.ST,145.0,73197,7323.35985,31671212.75555196,REBALANCE_OUT
2024-02-22,SELL,SHB-B.ST,153.39999389648438,104174,11026.40076527893,47640477.31895904,REBALANCE_OUT
2024-02-22,SELL,CLAS-B.ST,170.1999969482422,54067,6349.520232150421,56836331.033727504,REBALANCE_OUT
2024-02-22,SELL,RATO-B.ST,34.400001525878906,367538,8723.882354964751,69470914.91219102,REBALANCE_OUT
2024-02-22,SELL,NEWA-B.ST,122.0,126773,10671.75114,84926549.16105102,REBALANCE_OUT
2024-02-22,SELL,SKA-B.ST,185.6999969482422,70590,9044.908321357727,98026067.03730607,REBALANCE_OUT
2024-02-22,SELL,HPOL-B.ST,121.80000305175781,103946,8735.829950880432,110677954.3245732,REBALANCE_OUT
2024-02-22,SELL,MEKO.ST,116.30000305175781,95126,7633.576322308044,121733474.83855242,REBALANCE_OUT
2024-02-22,SELL,HEXA-B.ST,119.44999694824219,65562,5403.652682945251,129559451.88579012,REBALANCE_OUT
2024-02-22,SELL,EQT.ST,284.3999938964844,41891,8220.522099579162,141465031.50800818,REBALANCE_OUT
2024-02-22,SELL,SAVE.ST,181.39999389648438,77222,9665.568526785279,155463436.26815572,REBALANCE_OUT
2024-02-22,SELL,LUND-B.ST,558.0,21629,8327.59758,167524090.67057574,REBALANCE_OUT
2024-02-22,BUY,EMBRAC-B.ST,106.2719955444336,788185,57795.77503765068,83704302.0873487,REBALANCE_IN
2024-02-22,BUY,NOTE.ST,140.1551055908203,596814,57716.105139775085,56.794129088521004,REBALANCE_IN
2024-02-27,SELL,EMBRAC-B.ST,99.83999633789062,788185,54297.74738437042,78638146.56032504,STOP_LOSS
2024-02-29,BUY,RATO-B.ST,32.099605560302734,2448127,54222.8986324538,12.600165337324142,REBALANCE_IN
2024-03-07,SELL,SINT.ST,105.0,83091,6019.94295,8718547.657215338,REBALANCE_OUT
2024-03-07,SELL,NOTE.ST,156.60000610351562,596814,64488.142469437866,102115135.55740948,REBALANCE_OUT
2024-03-07,BUY,EMBRAC-B.ST,99.64800262451172,512379,35229.70531635384,51022361.91534843,REBALANCE_IN
2024-03-07,BUY,PCELL.ST,32.060001373291016,1590367,35181.14606078533,12.565250933170319,REBALANCE_IN
2024-03-14,SELL,PCELL.ST,31.899999618530273,1590367,35005.56761839296,50697713.690955676,REBALANCE_OUT
2024-03-14,BUY,BULTEN.ST,63.164031982421875,802082,34957.28583936218,23.30459140986204,REBALANCE_IN
2024-03-15,SELL,EMBRAC-B.ST,94.19999694824219,512379,33303.60916307693,48232819.93177172,STOP_LOSS
2024-03-21,SELL,HM-B.ST,151.89999389648438,79424,8324.508529511719,60289000.53847658,REBALANCE_OUT
2024-03-21,SELL,BULTEN.ST,68.19999694824219,802082,37744.37306704559,114953246.11764953,REBALANCE_OUT
2024-03-21,BUY,CLAS-B.ST,135.48670959472656,282815,26439.194904082487,76609133.14871284,REBALANCE_IN
2024-03-21,BUY,EMBRAC-B.ST,110.00399780273438,348330,26439.20786269226,38265001.38622369,REBALANCE_IN
2024-03-21,BUY,PCELL.ST,28.170000076293945,1357423,26384.638149358576,10.73451117426157,REBALANCE_IN
2024-03-28,SELL,RATO-B.ST,34.65999984741211,2448127,58547.93619804737,84793544.2447586,REBALANCE_OUT
2024-03-28,BUY,NIBE-B.ST,51.648109436035156,1640623,58467.20261062065,0.7948716729879379,REBALANCE_IN
2024-04-05,SELL,NIBE-B.ST,47.9900016784668,1640623,54326.11536137455,78679175.20324153,STOP_LOSS
