date,portfolio_value,cash,positions_count
2021-12-22,16879081,11,3
2021-12-23,17160705,11,3
2021-12-27,17235650,11,3
2021-12-28,17415122,11,3
2021-12-29,17258798,11,3
2021-12-30,17286007,11,3
2022-01-03,17434010,11,3
2022-01-04,17503804,101,8
2022-01-05,17380208,101,8
2022-01-07,16933813,101,8
2022-01-10,16868028,3102581,5
2022-01-11,17085600,5168642,3
2022-01-12,17092467,100,5
2022-01-13,17048528,100,5
2022-01-14,16771013,100,5
2022-01-17,17032959,2606550,4
2022-01-18,16873426,2606550,4
2022-01-19,16928857,4,5
2022-01-20,17095826,4,5
2022-01-21,16853918,4,5
2022-01-24,16304165,1025397,4
2022-01-25,16627461,7071576,2
2022-01-26,18300450,2,3
2022-01-27,17922297,2,3
2022-01-28,17992133,2,3
2022-01-31,18610444,3460917,2
2022-02-01,19282057,3460917,2
2022-02-02,19562058,24,3
2022-02-03,18896829,24,3
2022-02-04,18257854,24,3
2022-02-07,18426173,24,3
2022-02-08,18436439,24,3
2022-02-09,20209101,252,3
2022-02-10,19860769,252,3
2022-02-11,19440147,252,3
2022-02-14,19040058,252,3
2022-02-15,19846351,6075440,2
2022-02-16,20186209,83,3
2022-02-17,19497890,83,3
2022-02-18,18733948,83,3
2022-02-21,18843924,6892163,2
2022-02-22,19103731,6892163,2
2022-02-23,19632870,28,3
2022-02-24,19609005,28,3
2022-02-25,20223814,28,3
2022-02-28,21281480,28,3
2022-03-01,20655462,28,3
2022-03-02,21320611,256,3
2022-03-03,20773236,256,3
2022-03-04,20936376,6680431,2
2022-03-07,20967077,6680431,2
2022-03-08,21153868,6680431,2
2022-03-09,21981890,13,3
2022-03-10,21335328,13,3
2022-03-11,22080966,13,3
2022-03-14,22446340,13,3
2022-03-15,22054978,13,3
2022-03-16,25647005,38,3
2022-03-17,26351247,38,3
2022-03-18,27078551,38,3
2022-03-21,27139947,38,3
2022-03-22,26575283,38,3
2022-03-23,27730802,20,5
2022-03-24,27787919,20,5
2022-03-25,27665823,20,5
2022-03-28,27763990,5376116,4
2022-03-29,27347305,5376116,4
2022-03-30,27444508,10668435,3
2022-03-31,27541237,10668435,3
2022-04-01,27681917,10668435,3
2022-04-04,27728461,10668435,3
2022-04-05,27957734,10668435,3
2022-04-06,29884945,116,3
2022-04-07,29892678,116,3
2022-04-08,30637810,116,3
