date,portfolio_value
2023-03-22,139784.85170078278
2023-03-23,140272.4760980606
2023-03-24,138262.61760616302
2023-03-27,140641.43297481537
2023-03-28,138650.47132205963
2023-03-29,141267.9659986496
2023-03-30,143354.4342737198
2023-03-31,145047.60303020477
2023-04-03,143676.08994579315
2023-04-04,144290.59751224518
2023-04-05,143653.51076602936
2023-04-06,143767.07481479645
2023-04-11,146339.2611913681
2023-04-12,145617.43875217438
2023-04-13,147717.90074062347
2023-04-14,148816.24260044098
2023-04-17,149772.6588125229
2023-04-18,149868.37507915497
2023-04-19,148686.09182834625
2023-04-20,147375.76652622223
2023-04-21,148106.11942577362
2023-04-24,149537.23089122772
2023-04-25,148968.54269695282
2023-04-26,147204.2657403946
2023-04-27,147622.89882946014
2023-04-28,147975.34192180634
2023-05-02,144386.78598308563
2023-05-03,144728.27905368805
2023-05-04,142023.72941875458
2023-05-05,143329.53040409088
2023-05-08,144741.67201328278
2023-05-09,144070.9447336197
2023-05-10,142878.32351970673
2023-05-11,145363.75300884247
2023-05-12,145121.12285900116
2023-05-15,146842.33857822418
2023-05-16,142602.25537395477
2023-05-17,141268.46957492828
2023-05-19,143467.14770412445
2023-05-22,142652.78889751434
2023-05-23,142175.85637187958
2023-05-24,134623.74680423737
2023-05-25,133007.2614622116
2023-05-26,134961.93242168427
2023-05-29,134298.0197687149
2023-05-30,134021.35836696625
2023-05-31,132956.68220806122
2023-06-01,133288.73329257965
2023-06-02,134534.40714550018
2023-06-05,134766.57986736298
2023-06-07,135440.59449863434
2023-06-08,134613.89384555817
2023-06-09,134660.04531383514
2023-06-12,136518.11708927155
2023-06-13,136835.11583042145
2023-06-14,136623.63332653046
2023-06-15,135301.14583683014
2023-06-16,135224.64882946014
2023-06-19,132565.2749185562
2023-06-20,131694.94685459137
2023-06-21,130081.5914773941
2023-06-22,129837.4555311203
2023-06-26,128805.09816074371
2023-06-27,129056.72500705719
2023-06-28,130672.0621881485
2023-06-29,132477.9703321457
2023-06-30,133217.16226291656
2023-07-03,130903.38424777985
2023-07-04,131671.78102970123
2023-07-05,130180.9583311081
2023-07-06,127549.54433727264
2023-07-07,128861.09550571442
2023-07-10,128390.52755260468
2023-07-11,128520.31305217743
2023-07-12,129367.57127475739
2023-07-13,126229.37793064117
2023-07-14,126613.63320446014
2023-07-17,126181.49894809723
2023-07-18,127427.01657962799
2023-07-19,129065.64818096161
2023-07-20,128739.2381849289
2023-07-21,129531.76017665863
2023-07-24,129793.5618391037
2023-07-25,130671.39690303802
2023-07-26,129997.04129314423
2023-07-27,131246.91761302948
2023-07-28,131994.44540309906
2023-07-31,131726.0007314682
2023-08-01,130543.80336093903
2023-08-02,128899.47012996674
2023-08-03,127833.15110683441
2023-08-04,128282.17123508453
2023-08-07,126994.64740657806
2023-08-08,126719.10527324677
2023-08-09,126670.5621881485
2023-08-10,128901.39824199677
2023-08-11,126223.08870601654
2023-08-14,126511.41582393646
2023-08-15,124325.1474943161
2023-08-16,123405.22877597809
2023-08-17,121212.0047712326
2023-08-18,120170.84795284271
2023-08-21,118567.02011203766
2023-08-22,119299.75852108002
2023-08-23,120488.83315372467
2023-08-24,118722.1380109787
2023-08-25,118570.02798557281
2023-08-28,119799.20446872711
2023-08-29,120508.95531368256
2023-08-30,119308.1114358902
2023-08-31,120460.21570110321
2023-09-01,120265.25028514862
2023-09-04,120368.43185329437
2023-09-05,121072.79155254364
2023-09-06,120829.33234500885
2023-09-07,120285.2812833786
2023-09-08,119606.6743555069
2023-09-11,119552.75895214081
2023-09-12,118014.10319805145
2023-09-13,116611.04090023041
2023-09-14,117597.84143924713
2023-09-15,117600.11529827118
2023-09-18,116543.88825321198
2023-09-19,115297.92669963837
2023-09-20,117078.46937465668
2023-09-21,115346.20025539398
2023-09-22,115216.07438755035
2023-09-25,113680.76848125458
2023-09-26,112250.20884227753
2023-09-27,113251.30634212494
2023-09-28,113282.39270877838
2023-09-29,114546.67205142975
2023-10-02,113219.19568157196
2023-10-03,112147.74032878876
2023-10-04,111043.78524112701
2023-10-05,112212.56954288483
