date,portfolio_value,cash,positions_count
2023-03-03,5411591094,549312896,9
2023-03-06,5534816190,549312896,9
2023-03-07,5502962778,549312896,9
2023-03-08,5590801106,549312896,9
2023-03-09,5551539001,549312896,9
2023-03-10,5428564403,584211067,9
2023-03-13,5639347435,584211067,9
2023-03-14,5727149849,584211067,9
2023-03-15,5533391309,584211067,9
2023-03-16,5587507260,3524097552,4
2023-03-17,5809928515,665677337,8
2023-03-20,5888422333,665677337,8
2023-03-21,5938210920,1240165253,7
2023-03-22,5933858983,1869092372,6
2023-03-23,5878176822,2512286885,5
2023-03-24,5833115944,582644648,9
2023-03-27,6130819713,1220448897,8
2023-03-28,6118240005,1220448897,8
2023-03-29,6143511844,1220448897,8
2023-03-30,6319986682,1220448897,8
2023-03-31,6408633390,64,10
2023-04-03,6612497527,64,10
2023-04-04,6654427122,64,10
2023-04-05,6540377155,64,10
2023-04-06,6520166104,1281706166,8
2023-04-11,6649020107,135,10
2023-04-12,6709414491,135,10
2023-04-13,6751724311,135,10
2023-04-14,6834774495,135,10
2023-04-17,6898225609,135,10
2023-04-18,6919219302,116,10
2023-04-19,7148055547,116,10
2023-04-20,7086082998,116,10
2023-04-21,7131488451,116,10
2023-04-24,7107496230,116,10
2023-04-25,7077146317,49,10
2023-04-26,7411047248,49,10
2023-04-27,7482408081,769409115,9
2023-04-28,7600008197,769409115,9
2023-05-02,7490513704,769409115,9
2023-05-03,7474110085,784932646,9
2023-05-04,7677545869,784932646,9
2023-05-05,7793752161,784932646,9
2023-05-08,7788667949,784932646,9
2023-05-09,7695018371,784932646,9
2023-05-10,7696748932,2364294146,7
2023-05-11,8016516021,2364294146,7
2023-05-12,7982020872,2364294146,7
2023-05-15,8090832728,2364294146,7
2023-05-16,8043794675,2364294146,7
2023-05-17,7999403494,1683905860,8
2023-05-19,8409375364,1683905860,8
2023-05-22,8334179444,1683905860,8
2023-05-23,8331636817,2476854004,7
2023-05-24,7789668019,2476854004,7
2023-05-25,7730629614,1618359241,8
2023-05-26,8197228966,1618359241,8
2023-05-29,8143659419,1618359241,8
2023-05-30,8145644543,1618359241,8
2023-05-31,8155485077,1618359241,8
2023-06-01,8095398002,49,10
2023-06-02,8561979053,49,10
2023-06-05,8588991337,49,10
2023-06-07,8645768941,49,10
2023-06-08,8653174864,49,10
2023-06-09,8733873665,921420742,9
2023-06-12,9175695310,921420742,9
2023-06-13,9167157553,921420742,9
2023-06-14,9158397143,921420742,9
2023-06-15,9113638103,921420742,9
2023-06-16,9032323452,961552422,9
2023-06-19,9179013251,1895378088,8
2023-06-20,9194897154,1895378088,8
2023-06-21,9072337114,1895378088,8
2023-06-22,9057893551,4694143879,5
2023-06-26,9170970478,1858512862,8
2023-06-27,9379802960,1858512862,8
2023-06-28,9480084367,1858512862,8
2023-06-29,9497126763,1858512862,8
2023-06-30,9555511635,1858512862,8
2023-07-03,9536722436,989204909,9
2023-07-04,9930216098,989204909,9
2023-07-05,9816536128,989204909,9
2023-07-06,9619144065,989204909,9
2023-07-07,9853388048,1919723053,8
2023-07-10,9706158152,972613786,9
2023-07-11,9880939684,972613786,9
2023-07-12,9855841259,972613786,9
2023-07-13,9873032240,1904890851,8
2023-07-14,9879283931,1904890851,8
2023-07-17,9933252309,109,10
2023-07-18,10560761792,109,10
2023-07-19,10555486302,109,10
2023-07-20,10661158315,109,10
2023-07-21,10866131773,999813648,9
2023-07-24,10908152153,1122667694,9
2023-07-25,11287659214,1122667694,9
2023-07-26,11283642331,1122667694,9
2023-07-27,11354967040,1122667694,9
2023-07-28,11417558955,1122667694,9
2023-07-31,11389031015,1185525798,9
2023-08-01,11649185864,1185525798,9
2023-08-02,11442225116,1185525798,9
2023-08-03,11335463527,2346916899,8
2023-08-04,11481307690,2346916899,8
2023-08-07,11463659228,107,9
2023-08-08,11591802119,1120625703,8
2023-08-09,11635251302,1120625703,8
2023-08-10,11745297574,1120625703,8
2023-08-11,11671044379,1120625703,8
2023-08-14,11688212905,88,10
2023-08-15,11982153993,88,10
2023-08-16,11901340248,88,10
2023-08-17,11688757563,1054233874,9
2023-08-18,11536772076,3188916812,7
2023-08-21,11568270774,56,10
2023-08-22,12008954879,56,10
2023-08-23,11932502841,56,10
2023-08-24,11728509719,2316916972,8
2023-08-25,11820463200,4742857832,6
2023-08-28,11990044387,1,10
2023-08-29,12447398694,1,10
2023-08-30,12390079023,1,10
2023-08-31,12539449425,1,10
2023-09-01,12482364381,1,10
2023-09-04,12511855968,1319834234,9
2023-09-05,12883248347,1319834234,9
2023-09-06,13047720235,1319834234,9
2023-09-07,13001795414,1319834234,9
2023-09-08,12942355402,1319834234,9
2023-09-11,13021445444,2705454228,8
2023-09-12,13111859314,2705454228,8
2023-09-13,13035584233,2705454228,8
2023-09-14,13159407728,2705454228,8
2023-09-15,13097001649,4028573696,7
2023-09-18,13066735397,83,10
2023-09-19,13337147398,83,10
2023-09-20,13601784670,1321035899,9
2023-09-21,13407765034,2749076539,8
2023-09-22,13467458685,5345707261,6
2023-09-25,13447647895,2775093537,8
2023-09-26,13800095175,2775093537,8
2023-09-27,13861112873,2775093537,8
2023-09-28,13928996310,2775093537,8
2023-09-29,14054857462,4099944208,7
2023-10-02,13949933721,1416918865,9
2023-10-03,13817918538,1416918865,9
2023-10-04,13642867126,2717721594,8
2023-10-05,13788470233,4096534234,7
2023-10-06,13849616367,4096534234,7
2023-10-09,13757625932,52,10
2023-10-10,14866100893,52,10
2023-10-11,14698337644,52,10
2023-10-12,14599051663,52,10
2023-10-13,14313802280,52,10
2023-10-16,14303455090,137,10
2023-10-17,14475352651,1549335158,9
2023-10-18,14530886610,2976694752,8
2023-10-19,14396694356,2976694752,8
2023-10-20,14274911579,5757131789,6
2023-10-23,14156776542,2886834708,8
2023-10-24,14562005777,4337868929,7
2023-10-25,14436212481,4337868929,7
2023-10-26,14457648717,5793507316,6
2023-10-27,14626945553,5793507316,6
2023-10-30,14616333118,1469847955,9
2023-10-31,15012093420,1469847955,9
2023-11-01,14961177468,1469847955,9
2023-11-02,15420531483,1469847955,9
2023-11-03,15688385522,1469847955,9
2023-11-06,15473025791,1646389159,9
2023-11-07,16080585276,1646389159,9
2023-11-08,16057191942,1646389159,9
2023-11-09,16397947412,1646389159,9
2023-11-10,16197748576,1646389159,9
2023-11-13,16212437013,1724793515,9
2023-11-14,17263974974,1724793515,9
2023-11-15,17232436792,1724793515,9
2023-11-16,17021467575,1724793515,9
2023-11-17,17347953255,1724793515,9
2023-11-20,17381982513,143,10
2023-11-21,17932037682,143,10
2023-11-22,18072092696,143,10
2023-11-23,18185032618,143,10
2023-11-24,18234775890,143,10
2023-11-27,18213883795,2343980318,8
2023-11-28,18896534794,2343980318,8
2023-11-29,18911621257,2343980318,8
2023-11-30,18917832622,2343980318,8
2023-12-01,19045711556,2343980318,8
2023-12-04,19122339414,80,10
2023-12-05,20280631714,80,10
2023-12-06,20881422684,80,10
2023-12-07,20720137737,80,10
2023-12-08,21028741800,80,10
2023-12-11,21291096673,24,9
2023-12-12,21009955800,24,9
2023-12-13,20861593115,2016122287,8
2023-12-14,22238972400,4693326342,7
2023-12-15,22606587541,4693326342,7
2023-12-18,22499673832,4572870197,8
2023-12-19,23059844852,4572870197,8
2023-12-20,22938561920,4572870197,8
2023-12-21,22787365747,4572870197,8
2023-12-22,22820839698,4572870197,8
2023-12-27,23012582673,78,10
2023-12-28,23460956443,78,10
2023-12-29,23401281494,78,10
2024-01-02,23288791888,78,10
2024-01-03,22859616018,78,10
2024-01-04,22984862461,4835547320,8
2024-01-05,23590062044,4835547320,8
2024-01-08,23851729386,7093942387,7
2024-01-09,23791297058,7093942387,7
2024-01-10,23751477567,7093942387,7
2024-01-11,23632164025,2411397011,9
2024-01-12,24232232807,2411397011,9
2024-01-15,23941555419,2411397011,9
2024-01-16,23688430017,4886890562,8
2024-01-17,23679471919,7185766907,7
2024-01-18,23826887583,2477064042,9
2024-01-19,24215076067,2477064042,9
2024-01-22,24379031515,2477064042,9
2024-01-23,24639447855,2477064042,9
2024-01-24,24779036130,2477064042,9
2024-01-25,24894517669,5141041193,8
2024-01-26,25659206634,5141041193,8
2024-01-29,25878794044,5141041193,8
2024-01-30,25726551837,5141041193,8
2024-01-31,25893440747,5141041193,8
2024-02-01,25755139579,5328702127,8
2024-02-02,26641014144,5328702127,8
2024-02-05,26347472426,5328702127,8
2024-02-06,26854693312,7905742248,7
2024-02-07,27519813132,7905742248,7
2024-02-08,27471397821,2811072022,9
2024-02-09,28058824560,2811072022,9
2024-02-12,28593826202,2811072022,9
2024-02-13,28468293731,2811072022,9
2024-02-14,28544047167,5787086214,8
2024-02-15,28359426394,20,10
2024-02-16,29317146120,20,10
2024-02-19,29303123087,2613388036,9
2024-02-20,29243503473,2613388036,9
2024-02-21,29291839087,2613388036,9
2024-02-22,29263678888,78,9
2024-02-23,30836561556,78,9
2024-02-26,30677407423,78,9
2024-02-27,30673432907,3561752839,8
2024-02-28,30866478500,3561752839,8
2024-02-29,31249914482,3196522370,9
2024-03-01,32111659215,3196522370,9
2024-03-04,31562895907,6338802849,8
2024-03-05,31193839427,9379162813,7
2024-03-06,31573557718,9379162813,7
2024-03-07,31639921191,211,10
2024-03-08,31940009566,211,10
2024-03-11,31818094538,3458043128,9
2024-03-12,32520734168,3458043128,9
2024-03-13,32291586444,6603145433,8
2024-03-14,32201300857,17,10
2024-03-15,33062804666,3002172856,9
2024-03-18,33050215063,3002172856,9
2024-03-19,33001945742,3002172856,9
2024-03-20,33149885609,3002172856,9
2024-03-21,33634737498,3441967909,9
2024-03-22,34363138941,3441967909,9
2024-03-25,34520213969,3441967909,9
2024-03-26,35027004877,3441967909,9
2024-03-27,35678032321,3441967909,9
2024-03-28,35297613414,3685571946,9
2024-04-02,36840386608,3685571946,9
2024-04-03,37129114183,3685571946,9
2024-04-04,37389292844,3685571946,9
2024-04-05,36682462689,3685571946,9
2024-04-08,36598458037,24,10
2024-04-09,37131952975,24,10
2024-04-10,36993416072,24,10
2024-04-11,36733542372,4011610721,9
2024-04-12,37155293164,4011610721,9
2024-04-15,37002597823,93,8
2024-04-16,37511551035,93,8
2024-04-17,37419249154,93,8
2024-04-18,37309450096,93,8
2024-04-19,36819123329,93,8
2024-04-22,37074581637,8104039154,7
2024-04-23,38615702256,8104039154,7
2024-04-24,38138619834,8104039154,7
2024-04-25,37661280071,11668527683,6
2024-04-26,38431762837,11668527683,6
2024-04-29,38980411637,7347852667,8
2024-04-30,39384046879,7347852667,8
2024-05-02,38968525585,7347852667,8
2024-05-03,39410507121,7347852667,8
2024-05-06,39639439413,7347852667,8
2024-05-07,40723168498,4401488961,9
2024-05-08,40419352828,4401488961,9
2024-05-10,41146398709,4401488961,9
2024-05-13,41366110427,4401488961,9
2024-05-14,42377550408,8691173473,8
2024-05-15,42344834856,4328284965,9
2024-05-16,43336995843,4328284965,9
2024-05-17,43142295307,4328284965,9
2024-05-20,43608142566,4328284965,9
2024-05-21,43654480224,4328284965,9
2024-05-22,43767152138,4488923351,9
2024-05-23,45077608057,4488923351,9
2024-05-24,44977787675,4488923351,9
2024-05-27,44885159766,4488923351,9
2024-05-28,45321530976,4488923351,9
2024-05-29,44313289323,196,10
2024-05-30,46542416002,196,10
2024-05-31,46438656663,4333626124,9
2024-06-03,46712795469,4333626124,9
2024-06-04,46077895561,4333626124,9
2024-06-05,46065029626,4846866151,9
2024-06-07,48139113366,4846866151,9
2024-06-10,47805184072,4846866151,9
2024-06-11,47416804575,4846866151,9
2024-06-12,47988490610,9604357504,8
2024-06-13,47837452879,169,9
2024-06-14,47477878081,169,9
2024-06-17,47400390165,8907838233,7
2024-06-18,47437188581,8907838233,7
2024-06-19,47309968002,8907838233,7
2024-06-20,47916214514,3,10
2024-06-24,48598351456,3,10
2024-06-25,48017705082,3,10
2024-06-26,47805194101,3,10
2024-06-27,47150066177,9107249183,8
2024-06-28,47540510805,9756862643,8
2024-07-01,48474463286,9756862643,8
2024-07-02,48258054875,9756862643,8
2024-07-03,48660951103,14372109173,7
2024-07-04,48705623376,14372109173,7
2024-07-05,48476595738,177,10
2024-07-08,49417690028,4396498337,9
2024-07-09,49097361040,4396498337,9
2024-07-10,48781235123,4396498337,9
2024-07-11,49340334867,14095917984,7
2024-07-12,50140734463,47,10
2024-07-15,49807375031,47,10
2024-07-16,49875637563,47,10
2024-07-17,50563292924,47,10
2024-07-18,50420509751,47,10
2024-07-19,49293669637,10170456041,8
2024-07-22,51164443164,14969857914,7
2024-07-23,51148924694,14969857914,7
2024-07-24,50749413307,14969857914,7
2024-07-25,50694635428,14969857914,7
2024-07-26,50896476158,258,10
2024-07-29,51620618551,258,10
2024-07-30,51569908953,258,10
2024-07-31,51802447695,258,10
2024-08-01,50828878282,258,10
2024-08-02,49243247945,22,10
2024-08-05,49314633626,9068096453,8
2024-08-06,49295064157,23829648152,5
2024-08-07,49946553858,23829648152,5
2024-08-08,49994094374,23829648152,5
2024-08-09,50111814826,203,10
2024-08-12,50389908142,203,10
2024-08-13,50557835931,203,10
2024-08-14,51034873327,203,10
2024-08-15,51576411255,203,10
2024-08-16,51795294705,10567417859,8
2024-08-19,52438402762,10567417859,8
